frame_number,landmark,x,y,z
9.0,pose_0,0.9142910242080688,0.28514575958251953,-0.07706312835216522
9.0,pose_1,0.9185777902603149,0.27111679315567017,-0.09690450876951218
9.0,pose_2,0.9201370477676392,0.27015459537506104,-0.09693669527769089
9.0,pose_3,0.9216635823249817,0.2691096067428589,-0.09695763885974884
9.0,pose_4,0.9168988466262817,0.27133357524871826,-0.0657878965139389
9.0,pose_5,0.9173668026924133,0.27053433656692505,-0.06578818708658218
9.0,pose_6,0.9178506731987,0.2695828080177307,-0.06583768129348755
9.0,pose_7,0.933487594127655,0.26938602328300476,-0.14433713257312775
9.0,pose_8,0.928756833076477,0.27018412947654724,-0.005436871666461229
9.0,pose_9,0.9210874438285828,0.2945183515548706,-0.09119758754968643
9.0,pose_10,0.9188226461410522,0.2951595187187195,-0.05088373273611069
9.0,pose_11,0.9569582939147949,0.32986751198768616,-0.2117982804775238
9.0,pose_12,0.9415157437324524,0.33693400025367737,0.08893387019634247
9.0,pose_13,0.9626191854476929,0.4213208854198456,-0.24612922966480255
9.0,pose_14,0.9443380236625671,0.42552679777145386,0.13504180312156677
9.0,pose_15,0.9385806322097778,0.5083650350570679,-0.22064164280891418
9.0,pose_16,0.9225860834121704,0.48959919810295105,0.0748908743262291
9.0,pose_17,0.9248936772346497,0.5163009762763977,-0.24507102370262146
9.0,pose_18,0.9127402305603027,0.5069538354873657,0.07478059828281403
9.0,pose_19,0.9200800061225891,0.5156999826431274,-0.23953425884246826
9.0,pose_20,0.9120610356330872,0.5076284408569336,0.04322204738855362
9.0,pose_21,0.9242389798164368,0.5093587636947632,-0.21614865958690643
9.0,pose_22,0.9150344133377075,0.5037714838981628,0.059281639754772186
9.0,pose_23,0.9480723142623901,0.5097222924232483,-0.09411218017339706
9.0,pose_24,0.9416159391403198,0.5051478147506714,0.09415677934885025
9.0,pose_25,0.9142132997512817,0.6242921948432922,-0.07946650683879852
9.0,pose_26,0.9231297373771667,0.6094319820404053,0.12077917158603668
9.0,pose_27,0.94098961353302,0.7483938932418823,-0.017586059868335724
9.0,pose_28,0.9398990869522095,0.7331249713897705,0.1766454130411148
9.0,pose_29,0.9514123797416687,0.7678373456001282,-0.014589446596801281
9.0,pose_30,0.9475658535957336,0.7538577914237976,0.17873400449752808
